ModelID	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	Gene	GeneEffect
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP1	0.15340077344173
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP2	-0.143846268314489
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP3	0.020649642659032
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP4	0.128951514517575
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP5	0.0513964308063023
ACH-000352	HCC1428	HCC1428	HCC1428_BREAST	Breast	Invasive Breast Carcinoma	Invasive Breast Carcinoma	ULBP6	-0.139750265236528
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	MICA	0.124797537749209
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	MICB	-0.284286495723611
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP1	0.0484246779306094
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP2	-0.160047232789384
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP3	-0.126236492890329
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP4	0.145787729553706
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP5	-0.0940205935172058
ACH-000383	OE33	OE33	OE33_OESOPHAGUS	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	ULBP6	0.000172735051763656
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	MICA	0.0793148721862352
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	MICB	0.0111048378271754
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP1	0.023687741552785
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP2	-0.403834352189608
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP3	-0.126082522809754
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP4	0.125835231875671
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP5	0.201295669770327
ACH-000424	TC-71	TC71	TC71_BONE	Bone	Ewing Sarcoma	Ewing Sarcoma	ULBP6	-0.0824859422263695
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICA	0.0750373305569922
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICB	-0.355530251859764
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP1	0.119668016285965
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP2	-0.109458059507813
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP3	-0.187963876638371
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP4	0.261112545285202
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP5	-0.274452265251996
ACH-000476	JHH-4	JHH4	JHH4_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP6	-0.00818291130433944
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICA	0.0314332001761342
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICB	-0.109232620435525
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP1	-0.165236456068122
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP2	0.122081362939915
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP3	0.099949567810604
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP4	-0.142932120087009
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP5	0.156075199239188
ACH-000480	HuH-7	HUH7	HUH7_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP6	-0.164838831714575
ACH-000493	SNU-423	SNU423	SNU423_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICA	0.0646250829068648
ACH-000493	SNU-423	SNU423	SNU423_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	MICB	-0.162522076786112
ACH-000493	SNU-423	SNU423	SNU423_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP1	0.152465184014055
ACH-000493	SNU-423	SNU423	SNU423_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	ULBP2	-0.260809194781271
