gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
GZMB,50256.09671662084,2.4923541288598936,0.892235768857079,2.7933806465218347,0.00521602735832326,0.03687292684975848,NKG2D-CD3ζ/Dap10,1.4332923881804387,Cytotoxicity
GZMH,772.8482035055544,-0.5807553196392925,1.0098477976675244,-0.57509193066586906,0.5652291250168178,0.7328648416210998,NKG2D-CD3ζ/Dap10,0.1349761126038063,Cytotoxicity
GZMK,1059.197527726015,-2.5626654659253836,0.8274362123056819,-3.097115436589874,0.00195413761023844,0.01926445432320699,NKG2D-CD3ζ/Dap10,1.7152432881187423,Cytotoxicity
ID3,304.0281243052165,-0.2664101606384118,0.6565988952785395,-0.40574262697380326,0.6849317180769832,0.8192141720870629,NKG2D-CD3ζ/Dap10,0.08660254317736331,Activation
IFNG,2102.639838803414,3.633889831079998,0.5961957881002258,6.095128317929527,1.093497010096104e-9,1.0436062090104694e-6,NKG2D-CD3ζ/Dap10,5.981463345697763,Activation
IL2RA,13281.36207594541,3.3217957926383126,0.5284695874688874,6.285689605239349,3.26401520937374e-10,4.781737196148028e-7,NKG2D-CD3ζ/Dap10,6.320414296350541,Activation
KLRD1,1425.264827733504,-1.0687856016798114,0.7094598858328527,-1.5064778474756713,0.13194454971158107,0.29578507517222796,NKG2D-CD3ζ/Dap10,0.5290237435706062,Cytotoxicity
KLRG1,144.36621190580885,-3.1511055055491655,0.9304599110470142,-3.386610715988114,7.076171760904225e-4,0.00983195111819904,NKG2D-CD3ζ/Dap10,2.007360289310902,Cytotoxicity
KLRK1,4732.719776851656,-1.2640498512153264,0.7239525648218004,-1.746039606236453,0.0808040698852937,0.21533273563975355,NKG2D-CD3ζ/Dap10,0.6668899421830171,Cytotoxicity
LAIR2,686.7978553050176,0.08770233755534855,0.7766211547884745,0.11292808213450704,0.9100875724112604,0.9553173744265766,NKG2D-CD3ζ/Dap10,0.01985232363708685,Activation
LAYN,609.0287253517114,1.216450691933196,0.46571611246591293,2.6120004426993737,0.00900141375740478,0.05182940726831486,NKG2D-CD3ζ/Dap10,1.2854237578124474,Activation
MCM2,5605.334035023605,1.8869775668175397,0.8098314360386865,2.3300868339314462,0.01980156215131678,0.08517460677481895,NKG2D-CD3ζ/Dap10,1.069689862760619,Proliferation
MCM3,4624.870350814302,1.2234432149434638,0.4799682078710123,2.549008861170768,0.01080295553213899,0.05825203244980378,NKG2D-CD3ζ/Dap10,1.2346889172318027,Proliferation
MCM4,4604.829875438745,2.304978483096621,0.749671973704755,3.0746493985973604,0.00210750139028444,0.02020184948502417,NKG2D-CD3ζ/Dap10,1.6946088689508179,Proliferation
MICA,108.67850622643223,-0.22114305251565097,0.37919169295925,-0.5831959312975146,0.5597614098464736,0.7285321688417966,NKG2D-CD3ζ/Dap10,0.13755126689737765,NA
MICB,671.3195867285755,0.23613203326875715,0.30846045408071276,0.7655180109634737,0.44396314563146705,0.6356603125918895,NKG2D-CD3ζ/Dap10,0.1967749028693655,NA
MKI67,1898.8567532480488,1.0137958172167874,0.9063095876081556,1.1185976967233668,0.26331180653016906,0.4581553424926711,NKG2D-CD3ζ/Dap10,0.33898724481530873,Proliferation
NKG7,11528.811850720756,-0.7337614373568622,0.4948537033794967,-1.4827845731896043,0.13813165604564298,0.3035358163501177,NKG2D-CD3ζ/Dap10,0.5177900560698813,Cytotoxicity
NPW,231.1274626061899,6.677473676976587,1.361546404504069,4.90433058681448,9.374649058384186e-7,1.1430342431115137e-4,NKG2D-CD3ζ/Dap10,3.9419407587809134,Activation
PCNA,9527.029658196374,1.405252276329122,0.4966075447487499,2.82970383996096,0.00465911101606473,0.03423706699485492,NKG2D-CD3ζ/Dap10,1.4655034473392035,Proliferation
PRF1,10971.366635093616,-1.214395768431745,0.5278297742367072,-2.300733735962278,0.02140668597064485,0.09011493871995736,NKG2D-CD3ζ/Dap10,1.0452032082899751,Cytotoxicity
RAET1E,1.7582972757107589,-2.2527640921235492,5.198996799194187,-0.4333074589452939,0.6647914200294676,NA,NKG2D-CD3ζ/Dap10,0,NA
RGS16,2289.1352456984127,5.036720549478654,0.564555901966933,8.921562119766245,4.597567888731563e-19,7.020486166093097e-15,NKG2D-CD3ζ/Dap10,14.153632812095168,Activation
TNFRSF18,3348.6032748368634,1.428780202953055,0.8486817158332853,1.6835289087737622,0.09227274790095312,0.2344793638619975,NKG2D-CD3ζ/Dap10,0.6298953728005957,Activation
