gene,HCT 116,A549,PC-3,K-562,SK-N-SH,NCI-H929,Hep G2,MCF7,PANC-1
SP2,4.05648815474852,2.9185694221859,3.17538567412587,3.97294073946316,4.59953799024518,3.0979663703906,3.75799396459918,4.31073273619717,4.65169465970039
PRR15L,0.403130264316507,0.469351507208936,1.21966727751763,0.113577824870034,0.187753814015225,0.200174119156016,0.656747132861354,4.85786656994879,0.0754942957008392
COQ7,4.29693455582513,3.73161772284062,2.75147657553396,3.68956754395047,3.91147108671155,3.18455960107395,4.32478180682489,3.83272801825846,4.7981542274336
GPRC5B,3.16016670591644,5.09722310451662,2.90049395291805,1.55927153760481,1.80583310693092,2.54970613084334,0.522298856949738,0.781919475516642,2.92276111274255
CRK,5.90458043492132,6.05916272659172,4.38754176360556,4.2968097783911,5.85814266740931,2.94768298658167,4.86451303593563,5.48555241345975,5.53810044663029
C16orf92,0,0,0,0,0.112401222073468,0,0,0.00250810794947657,0
GOLGA6C,0,0.0111291935625829,0,0,0,0,0,0.00381808512698221,0.0248160964975421
FBXO22,5.75216786470656,6.34142897862939,4.01759236594002,5.73798143476126,5.45781752067763,4.72168982064071,5.47316022254424,6.00260576746814,5.5677583803369
TBC1D2B,3.31821993525566,2.84653744360516,1.96636032433767,3.799304937617,3.63773774858908,2.35608463597295,2.7804276938464,3.95933431388943,4.02599440345736
NOD2,1.61957734404188,0,0,0.145669630387753,0.0511507206722974,0.0322884871400162,0.0637817903784178,0.192995790542439,0.00477318655665656
SNX20,0,0,0,0.0423011312634087,0.0205128688918125,0.150560976300058,0.119034730690909,0,0
LOXHD1,0.00479619324907906,0.0190770263579254,0,0,0,0.0180358942134427,0,0.0168842193516183,0.0113582327668755
KATNAL2,0.720571790701216,1.41621281686028,2.11686708378514,0.820937033513954,2.1637627728365,0.761526979007855,0.282011529390901,0.898894026057695,1.41897248883199
HDHD2,4.62207525390631,4.07647358435655,3.50827651498061,5.59062896418154,5.28863909997006,5.31284666061295,4.61238788740385,4.53516960103138,4.11027971297561
ZNF91,2.67809444704654,0.267137841003327,2.92368545521387,2.37593466736634,3.72011426449628,3.19973829510224,3.14486051182941,2.45901711215722,2.73617622406643
IGF2,2.32698308814846,2.10902617649837,1.5909612413426,0.0246430790018262,0.502597422152519,0.202215839855733,9.68441551750089,0.472407706164948,2.21342816371642
RNF214,4.26761070240877,3.19319139523682,2.47223560272489,4.11152381516309,4.47196778766152,4.15621861497722,3.25118735582392,2.79698184019709,4.40429006444484
CDK12,5.05455331063347,4.67472616075374,2.83393445094919,4.54368146690576,4.52885882909331,3.86185613824016,4.89865338092424,4.0688083674006,4.66862974291022
DPEP2,0,0,0,1.76972943085663,0,1.30275771563804,0.251174931140101,0,0
DUS2,4.69079141012868,3.94148196386898,2.71169973277927,3.75500505030379,3.7454524831317,3.74607623965374,3.86911137346925,4.1455062778326,3.04068030557542
POP5,6.43013637863113,6.48005665307278,5.95199335591699,5.39750179863848,5.64711588063517,6.285748054296,4.83306717636178,6.10923935455579,5.57432861474722
