File	TF	CellLine	Assay	Target	Lab	OutputType
ENCFF772PQZ	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF772TGU	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF772VMB	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF773EPS	CREB1	HepG2	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF773RNU	TCF3	K562	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF774BEC	ATF4	K562	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF774DWR	CEBPB	HepG2	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF775MPD	CEBPA	HepG2	TF ChIP-seq	CEBPA-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF775RGP	SRF	K562	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF776ARH	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF777MYW	SREBF1	K562	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF777QKF	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF777UUX	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF778OYJ	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF778WUW	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF779ACE	E2F1	HeLa-S3	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF779QFW	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF779ZUX	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF780IIW	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF780OKR	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF781HFQ	TCF3	HepG2	TF ChIP-seq	TCF3-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF782ESV	SP1	A549	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF783CTL	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF783VIM	TP53	A549	TF ChIP-seq	TP53-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF784BWK	MYC	HeLa-S3	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF784JQH	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF784LWV	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF784MAU	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF784XVN	E2F1	K562	TF ChIP-seq	E2F1-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF785HTC	SREBF1	HepG2	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF786ECI	SRF	Ishikawa	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF786OYA	CEBPB	A549	TF ChIP-seq	CEBPB-human	Tim Reddy, Duke	peaks
ENCFF787DCF	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF787GDS	CEBPB	K562	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF787HLB	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF788CBF	MYC	K562	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF789EME	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF790ETX	SP1	K562	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF790WFD	CREB1	MCF-7	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF790XQI	ATF4	HepG2	TF ChIP-seq	ATF4-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF792KIA	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF793KOK	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF793OHV	POU5F1	K562	TF ChIP-seq	POU5F1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF793UWN	TCF12	SK-N-SH	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF795RCO	SREBF1	A549	TF ChIP-seq	SREBF1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF795RDX	SRF	Ishikawa	TF ChIP-seq	SRF-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF796MCF	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF797QGP	SPI1	HL-60	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF797TKM	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF799DNN	RXRA	HepG2	TF ChIP-seq	RXRA-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF800JFG	MYC	HepG2	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF803LML	SPI1	K562	TF ChIP-seq	SPI1-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF804ABO	RUNX1	K562	TF ChIP-seq	RUNX1-human	ENCODE Processing Pipeline	optimal IDR thresholded peaks
ENCFF804FGY	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF804VPN	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF805QIW	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	conservative IDR thresholded peaks
ENCFF805ZYS	CEBPB	A549	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF806TIM	SP1	HepG2	TF ChIP-seq	SP1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF807VKU	CEBPB	HCT116	TF ChIP-seq	CEBPB-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF808QUD	TCF12	K562	TF ChIP-seq	TCF12-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF808TOF	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF808YAS	TAL1	K562	TF ChIP-seq	TAL1-human	ENCODE Processing Pipeline	peaks and background as input for IDR
ENCFF809WPK	CREB1	A549	TF ChIP-seq	CREB1-human	ENCODE Processing Pipeline	IDR thresholded peaks
ENCFF810TLP	TP53	HepG2	TF ChIP-seq	TP53-human	ENCODE Processing Pipeline	IDR ranked peaks
ENCFF811HWR	MYC	MCF-7	TF ChIP-seq	MYC-human	ENCODE Processing Pipeline	IDR ranked peaks
