ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-000397	0.00275313977552628	-0.226973168476893	0.24178777352697	-0.141608297484012	0.0906836461292174	0.229065893689686	-0.0448017960155489	-0.0350501609070395	TEN	TEN	TEN_ENDOMETRIUM	Uterus	Endometrial Carcinoma	Uterine Clear Cell Carcinoma
ACH-000414	-0.0176998018353543	-0.0893574916948138	0.121781992191482	-0.115419029812857	0.0977802590665423	0.143794645760846	-0.0799181468144574	-0.179772411823906	NCI-H1944	NCIH1944	NCIH1944_LUNG	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma
ACH-000433	0.126441020125526	-0.255187151565281	0.00923188088289066	-0.116754057329184	0.0843417226288744	0.236798923497646	-0.0737463070183377	-0.0144567768205983	Caki-1	CAKI1	CAKI1_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma
ACH-000467	0.185801880595577	-0.332684672727642	0.0887617511611022	0.13586969569345	-0.171036406697785	0.0389990323479288	0.0761235931983977	-0.0406073083212868	HCC-56	HCC56	HCC56_LARGE_INTESTINE	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma
ACH-000478	-0.161386669546152	-0.395249811369296	0.0532107735387144	-0.0111702681158494	-0.100948250476228	0.0868514493131408	-0.00705906681765164	-0.124569241364802	SNU-387	SNU387	SNU387_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000487	0.0835104539312436	-0.332189956753857	-0.174570479109367	0.0250304885903497	-0.14426634675714	-0.0682253820332954	-0.0417158382337385	-0.135205189612675	F-36P	F36P	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Myeloid	Acute Myeloid Leukemia	AML, NOS
ACH-000489	-0.039553316353745	-0.173149947155543	0.0712064904546422	-0.197170281802045	-0.0683302499304205	0.147818139753667	-0.202449805195734	-0.0984346565477773	SW1116	SW1116	SW1116_LARGE_INTESTINE	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma
ACH-000571	0.102181896868824	-0.114515947087121	0.0747789067915502	-0.0338943714776491	0.0611825235696734	0.214924282911285	-0.0342467105827647	-0.0809147158195727	T98G	T98G	T98G_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-000577	-0.0360223889702417	-0.038140735890378	0.169638235777274	-0.174921316266536	-0.0160552905270232	0.262566880930858	0.121197272474114	-0.0551339065931705	JHH-2	JHH2	JHH2_LIVER	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma
ACH-000592	-0.106874414978669	-0.0855678005302548	0.247544812011772	-0.038159119508797	-0.0215364674316779	0.134738528428869	-0.0362066779855329	-0.0712275217518515	TM-31	TM31	TM31_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Astrocytoma
ACH-000631	0.21347618657294	0.032713294067351	-0.0169227764727481	-0.151751165053478	0.410616040650256	0.321396781089459	0.400324602547857	0.353483480659458	KS-1	KS1	KS1_CENTRAL_NERVOUS_SYSTEM	CNS/Brain	Diffuse Glioma	Glioblastoma
ACH-000656	0.0454781254004653	-0.144626665255175	0.231848692651306		-0.0322628106120679	0.0285168863648048			SU-DHL-8	SUDHL8	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS
ACH-000657	0.122567127686057	-0.146885245815112	0.0582772764599287	-0.0549013834225219	-0.0460169899900569	0.160816072173982	-0.0232500243772826	-0.0485010317814303	A2780	A2780	A2780_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Endometrioid Ovarian Cancer
ACH-000688	0.142558865063017	-0.31847259624517	-0.0974539745129309	-0.0443988173592028	0.053504604015244	-0.100410931844985	-0.175261662706603	0.113765253149827	OV7	OV7	OV7_OVARY	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Mixed Ovarian Carcinoma
